#Info 
# app_type;exhaustive
# version_count;unspecified ( perl 5.32.1 MSWin32-x64-multi-thread )
# app_version;undefined
# csv_base_filename;Python
# version_highlight;5.5.23-RELEASE
# base_name;Python
# start_date;20240326_1605
# guid;undefined
# uuid;3965e956-f1d6-4ceb-8f55-0cc9a9f82f44
section=Python
Dat_FileName;Dat_Language;Dat_CRC;Dat_SHA256;Dat_AnalysisDate;Dat_AnalysisStatus;Dat_AbortCause;Dat_AnaModel;Dat_Lines;Nbr_Lines;Dat_ContextType;Id_011;Id_020;Id_025;Id_033;Id_037;Id_104;Id_121;Id_144;Id_147;Id_161;Id_164;Id_174;Id_211;Id_215;Id_219;Id_232;Id_236;Id_244;Id_249;Id_250;Id_271;Id_280;Id_321;Id_327;Id_335;Id_349;Id_380;Id_386;Id_452;Id_466;Id_486;Id_526;Id_538;Id_562;Id_580;Id_581;Id_583;Id_654;Id_669;Id_686;Id_709;Id_710;Id_711;Id_712;Id_713;Id_714;Id_715;Id_718;Id_719;Id_720;Id_721;Id_722;Id_723;Id_724;Id_725;Id_726;Id_727;Id_728;Id_729;Id_730;Id_731;Id_732;Id_733;Id_734;Id_735;Id_736;Id_737;Id_738;Id_739;Id_740;Id_741;Id_742;Id_743;Id_744;Id_745;Id_746;
ColdFusion-Extension-Description-Page\cast_upgrade_1_6_11.py;Python;2905241155;4a1d52b1b955f80822ab79ff7be4e475f01021e433f256a1a1516c750311772f;20240326160549;0;None;unspecified;15;15;;0;2;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;0;0;7;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;
ColdFusion-Extension-Description-Page\cf_application.py;Python;4241828737;235226a204fb441e8e3a2fd59e9bf07c828ec2afbd1306caff9c90acb970e04a;20240326160550;0;None;unspecified;159;159;;0;0;0;0;20;0;0;0;0;0;29;0;0;0;0;0;2;0;0;0;32;0;0;11;102;3;11;28;2;28;4;0;4;0;2;0;0;4;24;0;1;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;3;16;1;11;0;0;0;43;0;6;2;0;0;0;0;23;6;10;
ColdFusion-Extension-Description-Page\main.py;Python;614744707;cb48442995ab7b01a43d81e3574d88489e4b1f8f64d2c0c934356f47ae945f18;20240326160550;0;None;unspecified;611;611;;4;0;0;0;72;0;0;0;4;0;123;0;2;2;0;0;1;13;0;0;101;0;0;15;453;2;32;59;23;134;13;0;13;2;1;0;0;49;61;0;5;0;0;0;0;0;10;0;0;0;0;0;0;3;0;0;0;0;11;11;0;33;0;0;0;49;0;8;13;0;0;0;0;11;36;0;
ColdFusion-Extension-Description-Page\Parser.py;Python;3871737882;85f621917795362abe977e1f153c9cc540e062b48439c1f6fad18a0dd0790662;20240326160550;0;None;unspecified;86;86;;1;0;0;0;5;0;0;0;0;0;11;0;0;1;0;0;1;0;1;0;6;0;0;1;68;2;8;10;16;8;4;1;3;2;1;0;0;14;9;0;0;0;0;0;0;0;6;0;0;0;0;0;0;1;3;0;0;0;0;11;1;2;0;0;0;7;0;5;3;0;0;0;12;11;0;0;
ColdFusion-Extension-Description-Page/bs4\dammit.py;Python;3248080744;93f5cf07791b66c1ccd357247fd07109407612ed9d210ddddc30eded412ff510;20240326160550;0;None;unspecified;939;939;;5;5;1;0;339;0;0;2;1;0;10;0;4;2;0;0;3;31;0;11;386;3;0;7;619;0;47;76;15;438;5;0;20;2;0;0;1;23;62;0;126;0;0;0;0;0;2;0;0;0;0;0;0;3;0;0;0;2;254;1;6;0;2;3;0;17;0;2;6;5;0;0;0;16;0;0;
ColdFusion-Extension-Description-Page/bs4\diagnose.py;Python;3966872624;58ecf2b424e4bea87f7c686a625332698563b47e74c388db75fd457748ae9dd1;20240326160550;0;None;unspecified;242;242;;5;3;0;0;39;0;1;0;2;0;4;0;0;1;0;0;1;9;8;0;40;0;0;7;166;0;31;36;2;64;12;0;10;1;0;0;0;3;26;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;1;4;9;0;0;28;0;22;0;1;10;0;0;0;9;11;0;0;
ColdFusion-Extension-Description-Page/bs4\element.py;Python;1380873067;37a50d680202674063525d959d9599273edbfaff56e7447562b0a66996d7c3fd;20240326160550;0;None;unspecified;2162;2162;;3;4;1;0;836;0;0;1;0;0;18;0;24;27;0;3;19;6;2;43;918;12;0;34;1054;8;234;302;41;90;23;0;107;1;0;0;0;55;203;0;25;0;0;1;0;0;0;1;0;0;12;0;3;1;6;0;1;4;0;5;12;1;2;12;0;46;0;1;5;17;0;0;5;10;1;0;
ColdFusion-Extension-Description-Page/bs4\formatter.py;Python;623834787;59acafd5de9f51cf414826b693dba1bd6c26f3dc42ba476d261ca2f52c6f92e7;20240326160551;0;None;unspecified;152;152;;0;1;0;0;68;0;0;0;0;0;0;0;2;0;0;0;3;1;0;7;68;3;0;0;70;0;15;13;4;9;3;0;7;1;0;0;2;4;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;0;3;0;0;0;0;45;0;0;2;1;0;0;0;10;0;0;
ColdFusion-Extension-Description-Page/bs4\__init__.py;Python;3590863944;e1fffd0a5fc02c7fed2eadee4227b976f165f59e0b6ab5245595c86495483c7d;20240326160551;0;None;unspecified;777;777;;3;8;0;1;233;0;0;7;1;0;19;0;6;7;0;3;6;4;1;4;272;1;0;4;420;4;65;86;27;77;4;0;23;5;0;0;1;30;68;0;1;0;0;0;0;0;3;1;1;0;2;0;0;1;1;0;1;0;0;2;4;1;2;6;0;49;0;3;3;6;0;0;19;10;0;0;
ColdFusion-Extension-Description-Page/bs4/builder\_html5lib.py;Python;3557971521;843c65cd5ac092efde53bcc4b78819fac017cc6e7c1af90b7cccfa3f8cd4aa80;20240326160551;0;None;unspecified;467;467;;1;3;0;0;49;0;0;5;0;0;11;0;2;4;0;0;5;5;1;3;91;2;0;7;315;18;59;79;28;30;34;1;35;1;4;0;0;35;48;0;0;0;0;1;0;0;0;0;1;0;0;0;0;2;1;1;1;0;0;1;13;0;0;10;0;42;0;1;7;3;0;0;16;11;0;0;
