techno;File name; Directory;Extension;resolution mode
PostgreSQL;COLDFUSION_Metrics_SP_CSS.sql;ColdFusion-Extension-Description-Page/InstallScripts/CastStorageService/DIAG;sql;techno extraction;
Python;cast_upgrade_1_6_11.py;ColdFusion-Extension-Description-Page;py;from extension;
Python;cf_application.py;ColdFusion-Extension-Description-Page;py;from extension;
Python;main.py;ColdFusion-Extension-Description-Page;py;from extension;
Python;Parser.py;ColdFusion-Extension-Description-Page;py;from extension;
Python;dammit.py;ColdFusion-Extension-Description-Page/bs4;py;from extension;
Python;diagnose.py;ColdFusion-Extension-Description-Page/bs4;py;from extension;
Python;element.py;ColdFusion-Extension-Description-Page/bs4;py;from extension;
Python;formatter.py;ColdFusion-Extension-Description-Page/bs4;py;from extension;
Python;__init__.py;ColdFusion-Extension-Description-Page/bs4;py;from extension;
Python;_html5lib.py;ColdFusion-Extension-Description-Page/bs4/builder;py;from extension;
Python;_htmlparser.py;ColdFusion-Extension-Description-Page/bs4/builder;py;from extension;
Python;_lxml.py;ColdFusion-Extension-Description-Page/bs4/builder;py;from extension;
Python;__init__.py;ColdFusion-Extension-Description-Page/bs4/builder;py;from extension;
Python;main.py;com.castsoftware.labs.jee.missingtable;py;from extension;
Python;cpp.py;com.castsoftware.labs.jee.missingtable/ply;py;from extension;
Python;ctokens.py;com.castsoftware.labs.jee.missingtable/ply;py;from extension;
Python;lex.py;com.castsoftware.labs.jee.missingtable/ply;py;from extension;
Python;yacc.py;com.castsoftware.labs.jee.missingtable/ply;py;from extension;
Python;ygen.py;com.castsoftware.labs.jee.missingtable/ply;py;from extension;
Python;__init__.py;com.castsoftware.labs.jee.missingtable/ply;py;from extension;
Python;lextab.py;com.castsoftware.labs.jee.missingtable/plyj;py;from extension;
Python;model.py;com.castsoftware.labs.jee.missingtable/plyj;py;from extension;
Python;parser.py;com.castsoftware.labs.jee.missingtable/plyj;py;from extension;
Python;parsetab.py;com.castsoftware.labs.jee.missingtable/plyj;py;from extension;
Python;exceptions.py;com.castsoftware.labs.jee.missingtable/sqlparse;py;from extension;
Python;filters.py;com.castsoftware.labs.jee.missingtable/sqlparse;py;from extension;
Python;formatter.py;com.castsoftware.labs.jee.missingtable/sqlparse;py;from extension;
Python;functions.py;com.castsoftware.labs.jee.missingtable/sqlparse;py;from extension;
Python;keywords.py;com.castsoftware.labs.jee.missingtable/sqlparse;py;from extension;
Python;lexer.py;com.castsoftware.labs.jee.missingtable/sqlparse;py;from extension;
Python;pipeline.py;com.castsoftware.labs.jee.missingtable/sqlparse;py;from extension;
Python;sql.py;com.castsoftware.labs.jee.missingtable/sqlparse;py;from extension;
Python;tokens.py;com.castsoftware.labs.jee.missingtable/sqlparse;py;from extension;
Python;utils.py;com.castsoftware.labs.jee.missingtable/sqlparse;py;from extension;
Python;__init__.py;com.castsoftware.labs.jee.missingtable/sqlparse;py;from extension;
Python;filter.py;com.castsoftware.labs.jee.missingtable/sqlparse/engine;py;from extension;
Python;grouping.py;com.castsoftware.labs.jee.missingtable/sqlparse/engine;py;from extension;
Python;__init__.py;com.castsoftware.labs.jee.missingtable/sqlparse/engine;py;from extension;
Python;ApacheTilesAnalysis.py;com.castsoftware.uc.apachetiles;py;from extension;
Python;ApacheTilesApplication.py;com.castsoftware.uc.apachetiles;py;from extension;
Python;cast_upgrade_1_5_16.py;com.castsoftware.uc.apachetiles/cast_upgrades;py;from extension;
